date,store_id,product_id,stock_quantity
2026-06-08,S101,P101,200
2026-06-09,S101,P101,198
2026-06-10,S101,P101,196
2026-06-11,S101,P101,194
2026-06-12,S101,P101,192
2026-06-13,S101,P101,190
2026-06-14,S101,P101,188
2026-06-15,S101,P101,186
2026-06-16,S101,P101,184
2026-06-17,S101,P101,182
2026-06-18,S101,P101,180
2026-06-19,S101,P101,178
2026-06-20,S101,P101,176
2026-06-21,S101,P101,174
2026-06-22,S101,P101,172
2026-06-23,S101,P101,170
2026-06-24,S101,P101,168
2026-06-25,S101,P101,166
2026-06-26,S101,P101,164
2026-06-27,S101,P101,162
2026-06-28,S101,P101,160
2026-06-29,S101,P101,158
2026-06-30,S101,P101,156
2026-07-01,S101,P101,154
2026-07-02,S101,P101,152
2026-07-03,S101,P101,150
2026-07-04,S101,P101,148
2026-07-05,S101,P101,146
2026-07-06,S101,P101,144
2026-07-07,S101,P101,142
2026-07-08,S101,P101,140
2026-07-09,S101,P101,138
2026-07-10,S101,P101,136
2026-07-11,S101,P101,134
2026-07-12,S101,P101,132
2026-07-13,S101,P101,130
2026-07-14,S101,P101,128
2026-07-15,S101,P101,126
2026-07-16,S101,P101,124
2026-07-17,S101,P101,122
2026-07-18,S101,P101,120
2026-07-19,S101,P101,118
2026-07-20,S101,P101,116
2026-07-21,S101,P101,114
2026-07-22,S101,P101,112
2026-07-23,S101,P101,110
2026-07-24,S101,P101,108
2026-07-25,S101,P101,106
2026-07-26,S101,P101,104
2026-07-27,S101,P101,102
2026-07-28,S101,P101,100
2026-07-29,S101,P101,98
2026-07-30,S101,P101,96
2026-07-31,S101,P101,94
2026-08-01,S101,P101,92
2026-08-02,S101,P101,90
2026-08-03,S101,P101,88
2026-08-04,S101,P101,86
2026-08-05,S101,P101,84
2026-08-06,S101,P101,82
2026-08-07,S101,P101,80
2026-08-08,S101,P101,78
2026-08-09,S101,P101,76
2026-08-10,S101,P101,74
2026-08-11,S101,P101,72
2026-08-12,S101,P101,70
2026-08-13,S101,P101,68
2026-08-14,S101,P101,66
2026-08-15,S101,P101,64
2026-08-16,S101,P101,62
2026-08-17,S101,P101,60
2026-08-18,S101,P101,58
2026-08-19,S101,P101,56
2026-08-20,S101,P101,54
2026-08-21,S101,P101,52
2026-08-22,S101,P101,50
2026-08-23,S101,P101,48
2026-08-24,S101,P101,46
2026-08-25,S101,P101,44
2026-08-26,S101,P101,42
2026-08-27,S101,P101,40
2026-08-28,S101,P101,38
2026-08-29,S101,P101,36
2026-08-30,S101,P101,34
2026-08-31,S101,P101,32
2026-09-01,S101,P101,12
2026-09-02,S101,P101,8
2026-09-03,S101,P101,4
2026-09-04,S101,P101,3
2026-09-05,S101,P101,3
2026-06-08,S101,P102,46
2026-06-09,S101,P102,45
2026-06-10,S101,P102,44
2026-06-11,S101,P102,41
2026-06-12,S101,P102,37
2026-06-13,S101,P102,37
2026-06-14,S101,P102,34
2026-06-15,S101,P102,31
2026-06-16,S101,P102,27
2026-06-17,S101,P102,24
2026-06-18,S101,P102,20
2026-06-19,S101,P102,18
2026-06-20,S101,P102,14
2026-06-21,S101,P102,14
2026-06-22,S101,P102,64
2026-06-23,S101,P102,60
2026-06-24,S101,P102,58
2026-06-25,S101,P102,56
2026-06-26,S101,P102,56
2026-06-27,S101,P102,54
2026-06-28,S101,P102,51
2026-06-29,S101,P102,50
2026-06-30,S101,P102,47
2026-07-01,S101,P102,47
2026-07-02,S101,P102,45
2026-07-03,S101,P102,41
2026-07-04,S101,P102,40
2026-07-05,S101,P102,36
2026-07-06,S101,P102,36
2026-07-07,S101,P102,34
2026-07-08,S101,P102,30
2026-07-09,S101,P102,26
2026-07-10,S101,P102,25
2026-07-11,S101,P102,24
2026-07-12,S101,P102,22
2026-07-13,S101,P102,21
2026-07-14,S101,P102,17
2026-07-15,S101,P102,13
2026-07-16,S101,P102,13
2026-07-17,S101,P102,9
2026-07-18,S101,P102,7
2026-07-19,S101,P102,5
2026-07-20,S101,P102,55
2026-07-21,S101,P102,55
2026-07-22,S101,P102,53
