date,store_id,product_id,units_sold,revenue
2026-06-08,S101,P101,7,209.93
2026-06-09,S101,P101,6,179.94
2026-06-10,S101,P101,6,179.94
2026-06-11,S101,P101,6,179.94
2026-06-12,S101,P101,5,149.95
2026-06-13,S101,P101,5,149.95
2026-06-14,S101,P101,8,239.92
2026-06-15,S101,P101,5,149.95
2026-06-16,S101,P101,5,149.95
2026-06-17,S101,P101,5,149.95
2026-06-18,S101,P101,6,179.94
2026-06-19,S101,P101,6,179.94
2026-06-20,S101,P101,5,149.95
2026-06-21,S101,P101,6,179.94
2026-06-22,S101,P101,8,239.92
2026-06-23,S101,P101,6,179.94
2026-06-24,S101,P101,8,239.92
2026-06-25,S101,P101,7,209.93
2026-06-26,S101,P101,5,149.95
2026-06-27,S101,P101,6,179.94
2026-06-28,S101,P101,8,239.92
2026-06-29,S101,P101,7,209.93
2026-06-30,S101,P101,7,209.93
2026-07-01,S101,P101,6,179.94
2026-07-02,S101,P101,6,179.94
2026-07-03,S101,P101,7,209.93
2026-07-04,S101,P101,5,149.95
2026-07-05,S101,P101,5,149.95
2026-07-06,S101,P101,8,239.92
2026-07-07,S101,P101,5,149.95
2026-07-08,S101,P101,7,209.93
2026-07-09,S101,P101,7,209.93
2026-07-10,S101,P101,7,209.93
2026-07-11,S101,P101,5,149.95
2026-07-12,S101,P101,8,239.92
2026-07-13,S101,P101,5,149.95
2026-07-14,S101,P101,8,239.92
2026-07-15,S101,P101,5,149.95
2026-07-16,S101,P101,7,209.93
2026-07-17,S101,P101,7,209.93
2026-07-18,S101,P101,6,179.94
2026-07-19,S101,P101,5,149.95
2026-07-20,S101,P101,5,149.95
2026-07-21,S101,P101,6,179.94
2026-07-22,S101,P101,7,209.93
2026-07-23,S101,P101,5,149.95
2026-07-24,S101,P101,6,179.94
2026-07-25,S101,P101,5,149.95
2026-07-26,S101,P101,8,239.92
2026-07-27,S101,P101,7,209.93
2026-07-28,S101,P101,8,239.92
2026-07-29,S101,P101,7,209.93
2026-07-30,S101,P101,6,179.94
2026-07-31,S101,P101,7,209.93
2026-08-01,S101,P101,7,209.93
2026-08-02,S101,P101,6,179.94
2026-08-03,S101,P101,7,209.93
2026-08-04,S101,P101,5,149.95
2026-08-05,S101,P101,6,179.94
2026-08-06,S101,P101,6,179.94
2026-08-07,S101,P101,6,179.94
2026-08-08,S101,P101,8,239.92
2026-08-09,S101,P101,8,239.92
2026-08-10,S101,P101,7,209.93
2026-08-11,S101,P101,6,179.94
2026-08-12,S101,P101,7,209.93
2026-08-13,S101,P101,5,149.95
2026-08-14,S101,P101,6,179.94
2026-08-15,S101,P101,5,149.95
2026-08-16,S101,P101,7,209.93
2026-08-17,S101,P101,8,239.92
2026-08-18,S101,P101,7,209.93
2026-08-19,S101,P101,5,149.95
2026-08-20,S101,P101,6,179.94
2026-08-21,S101,P101,7,209.93
2026-08-22,S101,P101,6,179.94
2026-08-23,S101,P101,8,239.92
2026-08-24,S101,P101,8,239.92
2026-08-25,S101,P101,8,239.92
2026-08-26,S101,P101,6,179.94
2026-08-27,S101,P101,7,209.93
2026-08-28,S101,P101,6,179.94
2026-08-29,S101,P101,6,179.94
2026-08-30,S101,P101,7,209.93
2026-08-31,S101,P101,8,239.92
2026-09-01,S101,P101,8,239.92
2026-09-02,S101,P101,7,209.93
2026-09-03,S101,P101,6,179.94
2026-09-04,S101,P101,6,179.94
2026-09-05,S101,P101,8,239.92
2026-06-08,S101,P102,0,0.0
2026-06-09,S101,P102,1,89.99
2026-06-10,S101,P102,1,89.99
2026-06-11,S101,P102,3,269.97
2026-06-12,S101,P102,4,359.96
2026-06-13,S101,P102,0,0.0
2026-06-14,S101,P102,3,269.97
2026-06-15,S101,P102,3,269.97
2026-06-16,S101,P102,4,359.96
2026-06-17,S101,P102,3,269.97
2026-06-18,S101,P102,4,359.96
2026-06-19,S101,P102,2,179.98
2026-06-20,S101,P102,4,359.96
2026-06-21,S101,P102,0,0.0
2026-06-22,S101,P102,0,0.0
2026-06-23,S101,P102,4,359.96
2026-06-24,S101,P102,2,179.98
2026-06-25,S101,P102,2,179.98
2026-06-26,S101,P102,0,0.0
2026-06-27,S101,P102,2,179.98
2026-06-28,S101,P102,3,269.97
2026-06-29,S101,P102,1,89.99
2026-06-30,S101,P102,3,269.97
2026-07-01,S101,P102,0,0.0
2026-07-02,S101,P102,2,179.98
2026-07-03,S101,P102,4,359.96
2026-07-04,S101,P102,1,89.99
2026-07-05,S101,P102,4,359.96
2026-07-06,S101,P102,0,0.0
2026-07-07,S101,P102,2,179.98
2026-07-08,S101,P102,4,359.96
2026-07-09,S101,P102,4,359.96
2026-07-10,S101,P102,1,89.99
2026-07-11,S101,P102,1,89.99
2026-07-12,S101,P102,2,179.98
2026-07-13,S101,P102,1,89.99
2026-07-14,S101,P102,4,359.96
2026-07-15,S101,P102,4,359.96
2026-07-16,S101,P102,0,0.0
2026-07-17,S101,P102,4,359.96
2026-07-18,S101,P102,2,179.98
2026-07-19,S101,P102,3,269.97
2026-07-20,S101,P102,0,0.0
2026-07-21,S101,P102,0,0.0
2026-07-22,S101,P102,2,179.98
2026-07-23,S101,P102,2,179.98
2026-07-24,S101,P102,1,89.99
2026-07-25,S101,P102,0,0.0
2026-07-26,S101,P102,1,89.99
2026-07-27,S101,P102,4,359.96
2026-07-28,S101,P102,0,0.0
2026-07-29,S101,P102,0,0.0
2026-07-30,S101,P102,3,269.97
2026-07-31,S101,P102,0,0.0
2026-08-01,S101,P102,4,359.96
2026-08-02,S101,P102,1,89.99
2026-08-03,S101,P102,1,89.99
2026-08-04,S101,P102,3,269.97
2026-08-05,S101,P102,4,359.96
2026-08-06,S101,P102,1,89.99
2026-08-07,S101,P102,2,179.98
2026-08-08,S101,P102,4,359.96
2026-08-09,S101,P102,4,359.96
2026-08-10,S101,P102,3,269.97
2026-08-11,S101,P102,1,89.99
2026-08-12,S101,P102,4,359.96
2026-08-13,S101,P102,1,89.99
2026-08-14,S101,P102,2,179.98
2026-08-15,S101,P102,3,269.97
2026-08-16,S101,P102,2,179.98
2026-08-17,S101,P102,3,269.97
2026-08-18,S101,P102,4,359.96
2026-08-19,S101,P102,3,269.97
2026-08-20,S101,P102,0,0.0
2026-08-21,S101,P102,1,89.99
2026-08-22,S101,P102,1,89.99
2026-08-23,S101,P102,0,0.0
2026-08-24,S101,P102,2,179.98
2026-08-25,S101,P102,0,0.0
2026-08-26,S101,P102,4,359.96
2026-08-27,S101,P102,4,359.96
2026-08-28,S101,P102,1,89.99
2026-08-29,S101,P102,4,359.96
2026-08-30,S101,P102,1,89.99
2026-08-31,S101,P102,0,0.0
2026-09-01,S101,P102,0,0.0
2026-09-02,S101,P102,0,0.0
2026-09-03,S101,P102,1,89.99
2026-09-04,S101,P102,0,0.0
2026-09-05,S101,P102,0,0.0
2026-06-08,S101,P103,1,119.99
2026-06-09,S101,P103,2,239.98
2026-06-10,S101,P103,2,239.98
2026-06-11,S101,P103,1,119.99
2026-06-12,S101,P103,1,119.99
2026-06-13,S101,P103,2,239.98
2026-06-14,S101,P103,1,119.99
2026-06-15,S101,P103,2,239.98
2026-06-16,S101,P103,2,239.98
2026-06-17,S101,P103,1,119.99
2026-06-18,S101,P103,1,119.99
2026-06-19,S101,P103,1,119.99
2026-06-20,S101,P103,2,239.98
2026-06-21,S101,P103,2,239.98
2026-06-22,S101,P103,2,239.98
2026-06-23,S101,P103,2,239.98
2026-06-24,S101,P103,2,239.98
2026-06-25,S101,P103,1,119.99
2026-06-26,S101,P103,1,119.99
2026-06-27,S101,P103,1,119.99
2026-06-28,S101,P103,2,239.98
2026-06-29,S101,P103,2,239.98
2026-06-30,S101,P103,1,119.99
2026-07-01,S101,P103,1,119.99
2026-07-02,S101,P103,1,119.99
2026-07-03,S101,P103,1,119.99
2026-07-04,S101,P103,2,239.98
2026-07-05,S101,P103,1,119.99
2026-07-06,S101,P103,2,239.98
2026-07-07,S101,P103,1,119.99
2026-07-08,S101,P103,2,239.98
2026-07-09,S101,P103,2,239.98
2026-07-10,S101,P103,1,119.99
2026-07-11,S101,P103,1,119.99
2026-07-12,S101,P103,2,239.98
2026-07-13,S101,P103,1,119.99
2026-07-14,S101,P103,1,119.99
2026-07-15,S101,P103,1,119.99
2026-07-16,S101,P103,1,119.99
2026-07-17,S101,P103,1,119.99
2026-07-18,S101,P103,1,119.99
2026-07-19,S101,P103,2,239.98
2026-07-20,S101,P103,2,239.98
2026-07-21,S101,P103,2,239.98
2026-07-22,S101,P103,1,119.99
